x	y	key	PANEL	group
13.5	-17.2772009136671	5 4	6	6
13.5	-17.2772009136671	5 4	6	6
13.5265820057481	-17.2779320426658	5 4	6	6
13.5531640114962	-17.2786486895672	5 4	6	6
13.5797460172443	-17.2793509111235	5 4	6	6
13.6063280229923	-17.2800387637541	5 4	6	6
13.6329100287404	-17.2807123035479	5 4	6	6
13.6594920344885	-17.2813715862662	5 4	6	6
13.6860740402366	-17.2820166673449	5 4	6	6
13.7126560459847	-17.2826476018972	5 4	6	6
13.7392380517327	-17.2832644447164	5 4	6	6
13.7658200574808	-17.2838672502776	5 4	6	6
13.7924020632289	-17.284456072741	5 4	6	6
13.818984068977	-17.2850309659538	5 4	6	6
13.8455660747251	-17.2855919834528	5 4	6	6
13.8721480804732	-17.2861391784666	5 4	6	6
13.8987300862212	-17.2866726039185	5 4	6	6
13.9253120919693	-17.2871923124279	5 4	6	6
13.9518940977174	-17.2876983563135	5 4	6	6
13.9784761034655	-17.2881907875952	5 4	6	6
14.0050581092136	-17.2886696579963	5 4	6	6
14.0316401149617	-17.2891350189459	5 4	6	6
14.0582221207097	-17.2895869215812	5 4	6	6
14.0848041264578	-17.2900254167495	5 4	6	6
14.1113861322059	-17.2904505550104	5 4	6	6
14.137968137954	-17.2908623866383	5 4	6	6
14.1645501437021	-17.291260961624	5 4	6	6
14.1911321494502	-17.2916463296773	5 4	6	6
14.2177141551982	-17.2920185402289	5 4	6	6
14.2442961609463	-17.2923776424324	5 4	6	6
14.2708781666944	-17.2927236851665	5 4	6	6
14.2974601724425	-17.2930567170372	5 4	6	6
14.3240421781906	-17.2933767863794	5 4	6	6
14.3506241839387	-17.2936839412594	5 4	6	6
14.3772061896867	-17.2939782294764	5 4	6	6
14.4037881954348	-17.2942596985648	5 4	6	6
14.4303702011829	-17.2945283957962	5 4	6	6
14.456952206931	-17.294784368181	5 4	6	6
14.4835342126791	-17.2950276624706	5 4	6	6
14.5101162184271	-17.2952583251594	5 4	6	6
14.5366982241752	-17.2954764024863	5 4	6	6
14.5632802299233	-17.2956819404367	5 4	6	6
14.5898622356714	-17.2958749847446	5 4	6	6
14.6164442414195	-17.2960555808943	5 4	6	6
14.6430262471676	-17.296223774122	5 4	6	6
14.6696082529156	-17.2963796094178	5 4	6	6
14.6961902586637	-17.2965231315275	5 4	6	6
14.7227722644118	-17.2966543849543	5 4	6	6
14.7493542701599	-17.2967734139605	5 4	6	6
14.775936275908	-17.2968802625695	5 4	6	6
14.8025182816561	-17.2969749745671	5 4	6	6
14.8291002874041	-17.2970575935034	5 4	6	6
14.8556822931522	-17.2971281626948	5 4	6	6
14.8822642989003	-17.2971867252251	5 4	6	6
14.9088463046484	-17.2972333239475	5 4	6	6
14.9354283103965	-17.2972680014863	5 4	6	6
14.9620103161446	-17.2972908002382	5 4	6	6
14.9885923218926	-17.2973017623745	5 4	6	6
15.0151743276407	-17.2973009298419	5 4	6	6
15.0417563333888	-17.2972883443648	5 4	6	6
15.0683383391369	-17.2972640474465	5 4	6	6
15.094920344885	-17.2972280803708	5 4	6	6
15.1215023506331	-17.2971804842037	5 4	6	6
15.1480843563811	-17.2971212997947	5 4	6	6
15.1746663621292	-17.2970505677786	5 4	6	6
15.2012483678773	-17.2969683285766	5 4	6	6
15.2278303736254	-17.2968746223983	5 4	6	6
15.2544123793735	-17.2967694892426	5 4	6	6
15.2809943851216	-17.2966529688999	5 4	6	6
15.3075763908696	-17.2965251009528	5 4	6	6
15.3341583966177	-17.2963859247779	5 4	6	6
15.3607404023658	-17.2962354795473	5 4	6	6
15.3873224081139	-17.2960738042298	5 4	6	6
15.413904413862	-17.2959009375927	5 4	6	6
15.44048641961	-17.2957169182025	5 4	6	6
15.4670684253581	-17.2955217844269	5 4	6	6
15.4936504311062	-17.295315574436	5 4	6	6
15.5202324368543	-17.2950983262035	5 4	6	6
15.5468144426024	-17.2948700775081	5 4	6	6
15.5733964483505	-17.2946308659351	5 4	6	6
15.5999784540985	-17.2943807288773	5 4	6	6
15.6265604598466	-17.2941197035366	5 4	6	6
15.6531424655947	-17.2938478269252	5 4	6	6
15.6797244713428	-17.2935651358669	5 4	6	6
15.7063064770909	-17.2932716669984	5 4	6	6
