colour	x	y	group	key	showSelectedlegendcolour	PANEL
#000000	12.3636363636364	4.81935752482332	1	2 20	0	1
#000000	12.3636363636364	-2.72492131398973	1	2 20	0	1
#000000	12.3636363636364	4.81935752482332	1	2 20	0	1
#000000	12.5454545454545	4.95737930837804	1	2 20	0	1
#000000	12.5454545454545	-2.63069592869846	1	2 20	0	1
#000000	12.5454545454545	4.95737930837804	1	2 20	0	1
#000000	12.7272727272727	5.09603127783993	1	2 20	0	1
#000000	12.7272727272727	-2.53521017159287	1	2 20	0	1
#000000	12.7272727272727	5.09603127783993	1	2 20	0	1
#000000	12.9090909090909	5.23529555468224	1	2 20	0	1
#000000	12.9090909090909	-2.43849979972643	1	2 20	0	1
#000000	12.9090909090909	5.23529555468224	1	2 20	0	1
#000000	13.0909090909091	5.3751550105762	1	2 20	0	1
#000000	13.0909090909091	-2.34059906975669	1	2 20	0	1
#000000	13.0909090909091	5.3751550105762	1	2 20	0	1
#000000	13.2727272727273	5.51559322599738	1	2 20	0	1
#000000	13.2727272727273	-2.24154082073252	1	2 20	0	1
#000000	13.2727272727273	5.51559322599738	1	2 20	0	1
#000000	13.4545454545455	5.65659445164822	1	2 20	0	1
#000000	13.4545454545455	-2.14135655124901	1	2 20	0	1
#000000	13.4545454545455	5.65659445164822	1	2 20	0	1
#000000	13.6363636363636	5.79814357246998	1	2 20	0	1
#000000	13.6363636363636	-2.04007649142368	1	2 20	0	1
#000000	13.6363636363636	5.79814357246998	1	2 20	0	1
#000000	13.8181818181818	5.9402260740381	1	2 20	0	1
#000000	13.8181818181818	-1.93772967010562	1	2 20	0	1
#000000	13.8181818181818	5.9402260740381	1	2 20	0	1
#000000	14	6.08282801115423	1	2 20	0	1
#000000	14	-1.83434397769155	1	2 20	0	1
#000000	14	6.08282801115423	1	2 20	0	1
#000000	14.1818181818182	6.22593597846468	1	2 20	0	1
#000000	14.1818181818182	-1.72994622488882	1	2 20	0	1
#000000	14.1818181818182	6.22593597846468	1	2 20	0	1
#000000	14.3636363636364	6.36953708295058	1	2 20	0	1
#000000	14.3636363636364	-1.62456219773521	1	2 20	0	1
#000000	14.3636363636364	6.36953708295058	1	2 20	0	1
#000000	14.5454545454545	6.51361891814818	1	2 20	0	1
#000000	14.5454545454545	-1.51821670915819	1	2 20	0	1
#000000	14.5454545454545	6.51361891814818	1	2 20	0	1
#000000	14.7272727272727	6.65816953997069	1	2 20	0	1
#000000	14.7272727272727	-1.41093364733135	1	2 20	0	1
#000000	14.7272727272727	6.65816953997069	1	2 20	0	1
#000000	14.9090909090909	6.80317744401343	1	2 20	0	1
#000000	14.9090909090909	-1.30273602106406	1	2 20	0	1
#000000	14.9090909090909	6.80317744401343	1	2 20	0	1
#000000	15.0909090909091	6.94863154423458	1	2 20	0	1
#000000	15.0909090909091	-1.19364600243994	1	2 20	0	1
#000000	15.0909090909091	6.94863154423458	1	2 20	0	1
#000000	15.2727272727273	7.09452115291261	1	2 20	0	1
#000000	15.2727272727273	-1.08368496690206	1	2 20	0	1
#000000	15.2727272727273	7.09452115291261	1	2 20	0	1
#000000	15.4545454545455	7.24083596178978	1	2 20	0	1
#000000	15.4545454545455	-0.972873530965893	1	2 20	0	1
#000000	15.4545454545455	7.24083596178978	1	2 20	0	1
#000000	15.6363636363636	7.38756602431839	1	2 20	0	1
#000000	15.6363636363636	-0.861231587726859	1	2 20	0	1
#000000	15.6363636363636	7.38756602431839	1	2 20	0	1
